transaction_id,account_number,transaction_amount,merchant_category,is_international,transaction_time,terminal_city,card_present,is_fraud
TXN-100000,ACC-80000,157.11,Healthcare & Pharmacy,0,2024-05-01 00:05:00,New York,True,0
TXN-100001,ACC-80001,12.99,Online Retail,0,2024-05-01 00:23:00,New York,True,0
TXN-100002,ACC-80002,275.12,Airlines & Travel,0,2024-05-01 00:41:00,,True,0
TXN-100003,ACC-80003,60.26,Fuel & Gas,0,2024-05-01 00:59:00,London,False,0
TXN-100004,ACC-80004,115.29,Online Retail,0,2024-05-01 01:17:00,Tokyo,True,0
TXN-100005,ACC-80005,43.59,Healthcare & Pharmacy,0,2024-05-01 01:35:00,New York,True,0
TXN-100006,ACC-80006,60.82,Fuel & Gas,0,2024-05-01 01:53:00,Singapore,True,0
TXN-100007,ACC-80007,390.66,Dining & Restaurants,0,2024-05-01 02:11:00,New York,True,0
TXN-100008,ACC-80008,207.07,Healthcare & Pharmacy,1,2024-05-01 02:29:00,New York,True,0
TXN-100009,ACC-80009,78.74,Airlines & Travel,0,2024-05-01 02:47:00,London,False,0
TXN-100010,ACC-80010,226.19,Online Retail,0,2024-05-01 03:05:00,Singapore,True,0
TXN-100011,ACC-80011,232.27,Dining & Restaurants,0,2024-05-01 03:23:00,Tokyo,True,0
TXN-100012,ACC-80012,56.28,Dining & Restaurants,0,2024-05-01 03:41:00,London,False,0
TXN-100013,ACC-80013,15.44,Fuel & Gas,0,2024-05-01 03:59:00,New York,True,0
TXN-100014,ACC-80014,30.6,Dining & Restaurants,0,2024-05-01 04:17:00,London,False,0
TXN-100015,ACC-80015,18.02,Airlines & Travel,0,2024-05-01 04:35:00,London,True,1
TXN-100016,ACC-80016,364.06,Airlines & Travel,0,2024-05-01 04:53:00,Sydney,True,0
TXN-100017,ACC-80017,448.42,Grocery & Supermarket,0,2024-05-01 05:11:00,Tokyo,True,0
TXN-100018,ACC-80018,604.04,Airlines & Travel,0,2024-05-01 05:29:00,Singapore,False,0
TXN-100019,ACC-80019,7.98,Healthcare & Pharmacy,0,2024-05-01 05:47:00,London,True,0
TXN-100020,ACC-80020,325.6,Dining & Restaurants,0,2024-05-01 06:05:00,Singapore,True,0
TXN-100021,ACC-80021,1280.02,Airlines & Travel,1,2024-05-01 06:23:00,London,True,0
TXN-100022,ACC-80022,341.85,Fuel & Gas,0,2024-05-01 06:41:00,Tokyo,True,0
TXN-100023,ACC-80023,6.81,Grocery & Supermarket,0,2024-05-01 06:59:00,,True,0
TXN-100024,ACC-80024,751.41,Dining & Restaurants,0,2024-05-01 07:17:00,Singapore,False,0
TXN-100025,ACC-80025,94.63,Grocery & Supermarket,0,2024-05-01 07:35:00,Tokyo,True,0
TXN-100026,ACC-80026,68.11,Dining & Restaurants,0,2024-05-01 07:53:00,Tokyo,False,0
TXN-100027,ACC-80027,154.67,Fuel & Gas,1,2024-05-01 08:11:00,Sydney,True,0
TXN-100028,ACC-80028,25.56,Grocery & Supermarket,0,2024-05-01 08:29:00,New York,True,0
TXN-100029,ACC-80029,90.32,Online Retail,1,2024-05-01 08:47:00,Singapore,True,0
TXN-100030,ACC-80030,629.24,Healthcare & Pharmacy,0,2024-05-01 09:05:00,Singapore,True,0
TXN-100031,ACC-80031,189.97,Healthcare & Pharmacy,0,2024-05-01 09:23:00,London,False,0
TXN-100032,ACC-80032,96.55,Dining & Restaurants,0,2024-05-01 09:41:00,London,False,0
TXN-100033,ACC-80033,100.24,Online Retail,0,2024-05-01 09:59:00,New York,True,0
TXN-100034,ACC-80034,21.81,Grocery & Supermarket,0,2024-05-01 10:17:00,London,True,0
