sensor_id,timestamp,firmware_version,temperature_celsius,vibration_hz,voltage_volts,operational_mode,error_flag,is_anomaly
SN-1000,2024-06-01 00:00:00,v3.1.0-prod,59.12,72.69,3.276,NORMAL,False,0
SN-1001,2024-06-01 00:00:01,v3.1.0-prod,43.97,112.92,3.381,ECO,False,0
SN-1002,2024-06-01 00:00:02,v3.1.0-prod,40.99,97.95,3.176,ECO,False,0
SN-1003,2024-06-01 00:00:03,v3.1.0-prod,48.75,110.23,3.326,NORMAL,False,0
SN-1004,2024-06-01 00:00:04,v3.1.0-prod,49.07,103.24,3.287,NORMAL,False,0
SN-1005,2024-06-01 00:00:05,v3.1.0-prod,35.01,118.84,3.382,NORMAL,False,0
SN-1006,2024-06-01 00:00:06,v3.1.0-prod,49.57,111.75,3.375,NORMAL,False,0
SN-1007,2024-06-01 00:00:07,v3.1.0-prod,65.01,111.22,3.318,NORMAL,False,0
SN-1008,2024-06-01 00:00:08,v3.1.0-prod,48.76,147.68,3.221,NORMAL,True,0
SN-1009,2024-06-01 00:00:09,v3.1.0-prod,31.41,133.93,3.271,NORMAL,False,0
SN-1010,2024-06-01 00:00:10,v3.1.0-prod,46.42,102.4,3.277,NORMAL,True,0
SN-1011,2024-06-01 00:00:11,v3.1.0-prod,30.35,106.11,3.234,NORMAL,False,0
SN-1012,2024-06-01 00:00:12,v3.1.0-prod,70.34,132.29,3.358,NORMAL,False,0
SN-1013,2024-06-01 00:00:13,v3.1.0-prod,62.89,132.26,3.227,NORMAL,False,0
SN-1014,2024-06-01 00:00:14,v3.1.0-prod,39.67,104.91,3.398,ECO,False,1
SN-1015,2024-06-01 00:00:15,v3.1.0-prod,27.03,114.15,3.398,ECO,True,0
SN-1016,2024-06-01 00:00:16,v3.1.0-prod,37.97,166.17,3.281,ECO,False,0
SN-1017,2024-06-01 00:00:17,v3.1.0-prod,43.55,105.34,3.316,NORMAL,False,0
SN-1018,2024-06-01 00:00:18,v3.1.0-prod,30.91,167.77,3.296,NORMAL,False,0
SN-1019,2024-06-01 00:00:19,v3.1.0-prod,44.45,147.59,3.345,NORMAL,False,0
SN-1020,2024-06-01 00:00:20,v3.1.0-prod,43.5,163.14,3.364,NORMAL,True,0
SN-1021,2024-06-01 00:00:21,v3.1.0-prod,46.0,104.27,3.313,ECO,False,0
SN-1022,2024-06-01 00:00:22,v3.1.0-prod,46.84,115.79,3.323,NORMAL,False,0
SN-1023,2024-06-01 00:00:23,v3.1.0-prod,37.28,108.77,3.269,NORMAL,False,1
SN-1024,2024-06-01 00:00:24,v3.1.0-prod,38.17,148.17,3.322,NORMAL,False,0
SN-1025,2024-06-01 00:00:25,v3.1.0-prod,45.36,105.81,3.308,NORMAL,False,0
SN-1026,2024-06-01 00:00:26,v3.1.0-prod,39.95,138.28,3.254,NORMAL,False,0
SN-1027,2024-06-01 00:00:27,v3.1.0-prod,52.26,136.96,3.299,ECO,False,0
SN-1028,2024-06-01 00:00:28,v3.1.0-prod,45.29,118.8,3.281,BOOST,False,0
SN-1029,2024-06-01 00:00:29,v3.1.0-prod,59.92,152.47,3.27,NORMAL,False,0
SN-1030,2024-06-01 00:00:30,v3.1.0-prod,51.56,122.69,3.243,NORMAL,False,1
SN-1031,2024-06-01 00:00:31,v3.1.0-prod,53.83,140.85,3.303,NORMAL,False,0
