order_id,customer_id,category,unit_price,quantity,is_prime_member,order_timestamp,customer_review,discount_code,delivery_days,returned
ORD-1000,CUST-500,Books,128.09,3,True,2024-01-01 09:00:00,Super fast delivery and premium materials used.,,2.0,0
ORD-1001,CUST-501,Beauty & Personal Care,344.79,1,True,2024-01-01 13:30:00,Item arrived damaged and packaging was poor.,,2.0,0
ORD-1002,CUST-502,Home & Kitchen,308.89,3,True,2024-01-01 18:00:00,"Not satisfied with the performance, returning immediately.",FLASH50,2.0,0
ORD-1003,CUST-503,Beauty & Personal Care,418.26,5,True,2024-01-01 22:30:00,"Great quality product, fast shipping!",SPRING20,2.0,1
ORD-1004,CUST-504,Beauty & Personal Care,94.94,3,False,2024-01-02 03:00:00,"Decent value for money, exactly as described.",,5.0,0
ORD-1005,CUST-505,Apparel,201.61,1,True,2024-01-02 07:30:00,"Exceeded my expectations, will definitely buy again.",,,0
ORD-1006,CUST-506,Home & Kitchen,99.29,5,True,2024-01-02 12:00:00,"Great quality product, fast shipping!",SAVE10,1.0,0
ORD-1007,CUST-507,Home & Kitchen,380.12,2,True,2024-01-02 16:30:00,"Great quality product, fast shipping!",SPRING20,2.0,0
ORD-1008,CUST-508,Home & Kitchen,218.32,3,True,2024-01-02 21:00:00,Item arrived damaged and packaging was poor.,SPRING20,3.0,0
ORD-1009,CUST-509,Beauty & Personal Care,111.88,1,True,2024-01-03 01:30:00,Super fast delivery and premium materials used.,SPRING20,2.0,0
ORD-1010,CUST-510,Books,288.16,2,True,2024-01-03 06:00:00,Super fast delivery and premium materials used.,,2.0,0
ORD-1011,CUST-511,Home & Kitchen,25.33,2,True,2024-01-03 10:30:00,"Average build quality, works okay for basic tasks.",SAVE10,2.0,0
ORD-1012,CUST-512,Beauty & Personal Care,422.71,4,True,2024-01-03 15:00:00,Item arrived damaged and packaging was poor.,SAVE10,2.0,0
ORD-1013,CUST-513,Apparel,230.37,5,True,2024-01-03 19:30:00,"Decent value for money, exactly as described.",SPRING20,5.0,0
ORD-1014,CUST-514,Books,203.61,3,False,2024-01-04 00:00:00,Super fast delivery and premium materials used.,SAVE10,1.0,0
ORD-1015,CUST-515,Apparel,464.05,1,False,2024-01-04 04:30:00,"Exceeded my expectations, will definitely buy again.",SPRING20,3.0,1
