user_id,movie_title,genre,release_year,user_rating,watch_duration_minutes,has_subtitles,stream_date,user_comment,liked
USR-1000,The Godfather,Crime,2019,4.5,28,True,2024-02-01 00:00:00,"One of the best movies of the decade, highly recommended.",1
USR-1001,Oppenheimer,Thriller,2023,4.0,64,True,2024-02-01 18:00:00,Emotional rollercoaster from start to finish.,1
USR-1002,Dune,Crime,1995,2.0,111,True,2024-02-02 12:00:00,Great acting but the pacing dragged in the second act.,0
USR-1003,Dune,Drama,1996,4.5,127,True,2024-02-03 06:00:00,Masterpiece of visual storytelling and sound design.,1
USR-1004,Whiplash,Drama,2021,4.0,163,True,2024-02-04 00:00:00,Masterpiece of visual storytelling and sound design.,1
USR-1005,The Matrix,Thriller,2021,4.0,143,False,2024-02-04 18:00:00,Emotional rollercoaster from start to finish.,0
USR-1006,Spirited Away,Sci-Fi,2014,4.5,13,False,2024-02-05 12:00:00,Overrated plot with predictable twists and clichéd dialogue.,1
USR-1007,Blade Runner 2049,Sci-Fi,2022,3.5,117,True,2024-02-06 06:00:00,"One of the best movies of the decade, highly recommended.",1
USR-1008,The Matrix,Animation,1996,3.5,124,True,2024-02-07 00:00:00,"Confusing plot structure, required a second viewing to appreciate.",1
USR-1009,Alien,Animation,2001,5.0,38,True,2024-02-07 18:00:00,"Confusing plot structure, required a second viewing to appreciate.",0
USR-1010,Forrest Gump,Action,2005,3.5,68,True,2024-02-08 12:00:00,"One of the best movies of the decade, highly recommended.",0
USR-1011,The Godfather,Thriller,2005,4.0,134,True,2024-02-09 06:00:00,Incredible practical effects and stellar soundtrack.,1
USR-1012,The Dark Knight,Crime,2002,5.0,107,False,2024-02-10 00:00:00,"Confusing plot structure, required a second viewing to appreciate.",0
USR-1013,The Prestige,Thriller,1996,4.5,26,False,2024-02-10 18:00:00,Incredible practical effects and stellar soundtrack.,1
USR-1014,Alien,Action,1998,2.0,116,True,2024-02-11 12:00:00,Great acting but the pacing dragged in the second act.,1
USR-1015,Arrival,Animation,2021,2.0,52,True,2024-02-12 06:00:00,Emotional rollercoaster from start to finish.,0
USR-1016,Memento,Thriller,2000,1.0,89,True,2024-02-13 00:00:00,Overrated plot with predictable twists and clichéd dialogue.,1
USR-1017,The Dark Knight,Thriller,1997,4.0,171,True,2024-02-13 18:00:00,"One of the best movies of the decade, highly recommended.",1
USR-1018,Whiplash,Animation,2022,4.0,17,True,2024-02-14 12:00:00,Overrated plot with predictable twists and clichéd dialogue.,1
USR-1019,The Godfather,Action,2012,2.0,150,True,2024-02-15 06:00:00,Masterpiece of visual storytelling and sound design.,1
USR-1020,Forrest Gump,Animation,2014,,115,True,2024-02-16 00:00:00,Masterpiece of visual storytelling and sound design.,1
USR-1021,The Godfather,Sci-Fi,1997,4.0,17,True,2024-02-16 18:00:00,"Confusing plot structure, required a second viewing to appreciate.",1
USR-1022,Gladiator,Crime,2011,3.5,105,True,2024-02-17 12:00:00,Masterpiece of visual storytelling and sound design.,1
USR-1023,Arrival,Animation,1993,4.0,103,False,2024-02-18 06:00:00,"One of the best movies of the decade, highly recommended.",1
USR-1024,The Matrix,Action,1992,4.5,74,True,2024-02-19 00:00:00,Overrated plot with predictable twists and clichéd dialogue.,1
USR-1025,Gladiator,Drama,2018,2.0,48,True,2024-02-19 18:00:00,Masterpiece of visual storytelling and sound design.,1
USR-1026,Pulp Fiction,Sci-Fi,2018,3.5,90,True,2024-02-20 12:00:00,Emotional rollercoaster from start to finish.,1
USR-1027,Interstellar,Drama,2023,4.5,93,True,2024-02-21 06:00:00,Great acting but the pacing dragged in the second act.,1
USR-1028,Alien,Animation,2023,4.0,97,True,2024-02-22 00:00:00,"One of the best movies of the decade, highly recommended.",0
USR-1029,The Godfather,Sci-Fi,2017,4.0,95,True,2024-02-22 18:00:00,"One of the best movies of the decade, highly recommended.",1
USR-1030,The Godfather,Crime,2002,4.0,102,False,2024-02-23 12:00:00,Great acting but the pacing dragged in the second act.,0
USR-1031,Fight Club,Animation,2004,1.0,95,True,2024-02-24 06:00:00,Masterpiece of visual storytelling and sound design.,1
USR-1032,Parasite,Crime,2012,3.5,53,False,2024-02-25 00:00:00,"Confusing plot structure, required a second viewing to appreciate.",1
USR-1033,Inception,Thriller,2015,4.0,146,True,2024-02-25 18:00:00,Emotional rollercoaster from start to finish.,1
USR-1034,Pulp Fiction,Drama,1993,3.5,174,True,2024-02-26 12:00:00,Great acting but the pacing dragged in the second act.,1
USR-1035,Gladiator,Sci-Fi,2015,1.0,83,True,2024-02-27 06:00:00,Incredible practical effects and stellar soundtrack.,1
USR-1036,Gladiator,Crime,1998,4.5,45,True,2024-02-28 00:00:00,"Confusing plot structure, required a second viewing to appreciate.",1
USR-1037,Gladiator,Action,1994,,110,True,2024-02-28 18:00:00,Emotional rollercoaster from start to finish.,1
USR-1038,Interstellar,Crime,2021,4.5,165,True,2024-02-29 12:00:00,Overrated plot with predictable twists and clichéd dialogue.,1
USR-1039,The Godfather,Action,2009,5.0,179,True,2024-03-01 06:00:00,"One of the best movies of the decade, highly recommended.",1
USR-1040,Goodfellas,Animation,2000,3.5,179,False,2024-03-02 00:00:00,"One of the best movies of the decade, highly recommended.",1
USR-1041,Forrest Gump,Sci-Fi,2004,,113,False,2024-03-02 18:00:00,"Confusing plot structure, required a second viewing to appreciate.",0
USR-1042,Pulp Fiction,Crime,2021,3.5,75,False,2024-03-03 12:00:00,"Confusing plot structure, required a second viewing to appreciate.",1
USR-1043,Arrival,Crime,2017,,64,True,2024-03-04 06:00:00,Great acting but the pacing dragged in the second act.,1
USR-1044,The Dark Knight,Sci-Fi,2011,,100,True,2024-03-05 00:00:00,"One of the best movies of the decade, highly recommended.",1
USR-1045,Fight Club,Crime,2006,4.5,31,True,2024-03-05 18:00:00,Emotional rollercoaster from start to finish.,0
USR-1046,Whiplash,Action,2015,,110,True,2024-03-06 12:00:00,"Confusing plot structure, required a second viewing to appreciate.",1
USR-1047,Whiplash,Crime,1996,4.0,164,True,2024-03-07 06:00:00,,0
USR-1048,Goodfellas,Drama,2015,3.5,130,True,2024-03-08 00:00:00,"Confusing plot structure, required a second viewing to appreciate.",1
USR-1049,Inception,Animation,2014,4.0,102,True,2024-03-08 18:00:00,"One of the best movies of the decade, highly recommended.",1
